Episode,TotalReward,FinalScore
353,845.55,2800
354,679.36,2800
355,736.49,2000
356,876.97,2400
357,951.02,2000
358,674.35,2000
359,631.88,2400
360,759.58,800
361,934.42,2400
362,719.00,2400
363,1433.70,4400
364,734.31,2000
365,669.51,1200
366,1817.47,3600
367,635.90,800
368,812.26,2000
369,908.73,1200
370,861.99,2000
371,820.66,2400
372,839.01,2400
373,792.21,400
374,865.86,2400
375,720.55,2800
376,705.17,2400
377,670.28,8400
378,-643.04,800
379,1411.21,3200
380,725.45,2000
381,1972.55,2800
382,816.25,2000
383,686.93,1600
384,1842.21,1600
385,691.87,2800
386,706.45,1600
387,1978.26,3200
388,638.15,800
389,859.35,2400
390,914.98,800
391,842.63,2000
392,667.85,1600
393,707.03,2400
394,2297.57,2800
395,750.76,1600
396,2036.37,4000
397,673.83,2000
398,709.94,2000
399,1789.27,4800
400,683.43,2800
401,2092.99,3600
402,631.94,1200
403,678.16,2000
404,1967.53,2400
405,640.96,2400
406,754.35,2400
407,2164.59,2800
408,643.94,1600
409,673.03,2000
410,1019.19,800
411,747.91,1600
412,635.06,2000
413,672.71,2000
414,714.22,2000
415,837.84,1600
416,806.86,2800
417,657.03,2000
418,673.71,2000
419,746.06,1600
420,734.00,2400
421,-579.74,1600
422,709.98,2000
423,859.08,2800
424,846.17,2400
425,155.10,2000
426,640.99,1200
427,696.10,1600
428,906.26,2000
429,748.47,2400
430,-185.61,1600
431,701.05,2000
432,856.91,1600
433,796.68,1600
434,810.94,2000
435,679.02,2800
436,674.91,2000
437,22.03,2000
438,720.93,1600
439,-93.78,1200
440,632.44,1600
441,725.24,2800
442,90.90,2400
443,728.40,2400
444,630.15,1200
445,747.70,2400
446,884.26,2800
447,799.28,2000
448,662.48,800
449,680.19,1600
450,72.07,2800
451,610.86,2400
452,782.84,1600
453,664.88,1600
454,707.48,1600
455,805.71,2400
456,664.37,1200
457,756.34,1200
458,700.55,2000
459,817.24,2000
460,743.65,2800
461,694.79,2800
462,552.30,800
463,-3476.52,2800
464,677.65,2400
465,681.99,1600
466,-7800.38,2400
467,697.11,1600
468,947.22,2000
469,851.79,2000
470,398.20,2800
471,606.33,400
472,735.39,2000
473,898.78,1600
474,109.87,2400
475,799.12,800
476,665.06,1200
477,808.37,2400
478,680.78,1600
479,-1814.43,1600
480,872.06,2000
481,870.04,2000
482,772.39,2400
483,725.90,2800
484,891.64,2000
485,722.98,2000
486,668.58,2000
487,675.09,2000
488,739.33,2800
489,783.88,2400
490,707.09,1600
491,712.02,2000
492,754.68,2000
493,843.46,2400
494,782.23,2400
495,660.60,2400
496,737.99,2000
497,693.69,1600
498,723.40,1600
499,794.83,1600
500,636.84,1600
501,765.98,2400
502,839.79,2000
503,652.25,1600
504,640.26,1200
505,619.56,1600
506,808.44,1600
507,683.71,2000
508,806.75,1200
509,667.08,2400
510,766.00,2000
511,899.05,2000
512,704.82,3200
513,653.00,2400
514,647.71,1600
515,885.66,2000
516,832.28,2400
517,769.57,2400
518,782.12,2000
519,684.33,1600
520,895.01,1600
521,785.74,2000
522,711.57,1600
523,796.36,2000
524,783.11,2000
525,681.43,1600
526,658.83,2000
527,661.45,1600
528,651.93,1600
529,786.90,2400
530,678.97,2000
531,738.16,2000
532,770.28,2000
533,756.50,1600
534,844.69,2000
535,-1745.40,2400
536,883.14,2400
537,696.41,2400
538,-1412.20,2800
539,789.64,2000
540,732.92,3600
541,915.29,2400
542,744.52,2000
543,635.46,2800
544,-886.72,2000
545,713.54,1600
546,728.93,1600
547,681.82,2000
548,34.78,1600
549,707.00,1600
550,825.27,2000
551,708.96,2000
552,779.60,1600
553,329.26,2400
554,723.82,2400
555,832.16,2800
556,646.60,2000
557,636.25,1200
558,668.17,2400
559,529.12,2000
560,696.26,2800
561,-1831.93,3200
562,230.36,2800
563,693.57,2000
564,1077.10,3600
565,897.49,2000
566,1112.71,2000
567,695.73,1200
568,697.44,2800
569,1166.78,2400
570,879.03,2000
571,761.23,2400
572,1805.52,4400
573,717.11,1600
574,1827.47,4000
575,813.27,2400
576,855.75,2800
577,657.93,2000
578,615.80,1600
579,775.15,2000
580,719.76,2000
581,1525.51,4000
582,896.09,2400
583,721.68,1600
584,623.08,2800
585,669.69,2000
586,863.76,1600
587,832.94,1600
588,1724.67,3200
589,908.87,2000
590,722.23,2000
591,1794.64,3200
592,867.15,1200
593,1780.18,3200
594,891.55,1600
595,713.78,2000
596,1804.89,3600
597,892.99,2000
598,-3251.22,3200
599,1671.17,2800
600,952.58,2400
601,699.55,2400
602,1829.64,4000
603,811.60,2000
604,1749.73,4000
605,700.35,1200
606,821.01,1200
607,27.19,1600
608,-51.69,2400
609,828.47,2000
